Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up
ABCC11,-0.551707058,-0.761967184,-0.341446931,0.42530924,0.086248363,0.764370116,0.320388318,0.067810807,0.572965829,-0.030666254,-0.254958791,0.193626284
ABCC12,-0.003481258,-0.216264153,0.209301637,-0.610763659,-0.831379226,-0.390148091,0.400021611,0.079545212,0.720498009,-0.028854758,-0.280350893,0.222641377
ABCC3,0.244319992,0.023719958,0.464920025,-0.564094804,-1.033210416,-0.094979192,0.187083312,0.077919724,0.296246901,-0.043504695,-0.272985267,0.185975877
ABCC4,0.236284857,-0.033979216,0.50654893,0.558040151,0.09949059,1.016589713,-0.043795136,-0.308344896,0.220754625,-0.573434762,-0.766568945,-0.38030058
ABCC5,0.234183503,-0.147370962,0.615737968,0.164476604,-0.43061217,0.759565379,-0.246437293,-0.528657458,0.035782873,-0.006615682,-0.494320574,0.48108921
ABCC8,0.462211619,0.125317443,0.799105795,0.080492475,-0.14032088,0.30130583,-0.472529046,-0.719368384,-0.225689707,0.07111768,-0.161513791,0.30374915
ABCC9,0.381905911,0.17217689,0.591634932,0.132239582,-0.093962406,0.358441571,-0.311736209,-0.584899057,-0.038573361,-0.023680809,-0.285838807,0.238477188
ABCD1,0.536974157,0.242803582,0.831144732,0.333060059,-0.006538764,0.672658883,-0.412519159,-0.56168566,-0.263352658,-0.173929787,-0.326661912,-0.021197662
ABCD2,0.523201321,0.23041785,0.815984791,0.086938739,-0.458434616,0.632312093,-0.072359926,-0.421121171,0.276401319,-0.394476691,-0.572318348,-0.216635033
ABCD3,-0.347561806,-0.537549392,-0.15757422,0.000559092,-0.345751939,0.346870123,0.082982945,-0.124948873,0.290914763,0.180866486,-0.032495142,0.394228114
ABCD4,-0.120315305,-0.255123688,0.014493079,-1.131300505,-1.545596797,-0.717004212,0.282223121,-0.029714067,0.594160309,0.560495415,0.279563341,0.841427489
ABCE1,0.061712678,-0.195085445,0.318510801,0.175231627,-0.150888563,0.501351818,-0.278071511,-0.488076858,-0.068066164,0.132584876,-0.047133447,0.312303199
ABCF1,0.694066355,0.497969138,0.890163572,0.042412419,-0.214750061,0.299574899,-0.430203523,-0.638154894,-0.222252151,-0.1294776,-0.325776831,0.06682163
ABCF2-H2BK1,0.59540868,0.316183454,0.874633907,0.024785001,-0.142305261,0.191875263,-0.473789931,-0.633825376,-0.313754485,-0.004900327,-0.217481895,0.20768124
ABCF3,-0.065631533,-0.279000439,0.147737373,-0.249770186,-0.504435724,0.004895353,-0.188127492,-0.388684943,0.012429959,0.354397589,0.123219699,0.58557548
ABCG2,0.168514784,-0.07121547,0.408245038,-0.479673279,-0.7847312,-0.174615358,0.201541716,0.014184221,0.388899211,-0.078102744,-0.322276104,0.166070616
ABCG5,0.316794689,-0.021537374,0.655126752,-0.323559111,-0.696457506,0.049339284,0.118791098,-0.149888305,0.387470501,-0.187365516,-0.620646218,0.245915186
ABHD10,-0.047164544,-0.291383863,0.197054774,-0.494800543,-0.762679523,-0.226921564,0.332579505,0.133623537,0.531535473,-0.035948346,-0.243132606,0.171235915
ABHD11,-0.297692177,-0.510468553,-0.084915801,0.635987344,0.267926525,1.004048164,-0.036425448,-0.225725047,0.152874151,-0.059816819,-0.252842165,0.133208528
ABHD12,-0.161736703,-0.361668476,0.03819507,-0.308758547,-0.71356877,0.096051676,0.09343695,-0.129198616,0.316072516,0.186138057,0.019058164,0.353217949
ABHD12B,-0.055998407,-0.459753794,0.347756979,0.240311324,-0.097715335,0.578337982,0.141250156,-0.227944574,0.510444887,-0.144042586,-0.424597015,0.136511843
ABHD13,-0.355904219,-0.991328815,0.279520377,0.487582054,0.105309341,0.869854767,-0.260977538,-0.657534138,0.135579061,0.110828317,-0.051323882,0.272980515
ABHD14B,-0.626303423,-0.885568164,-0.367038682,0.027042465,-0.195588057,0.249672987,0.559720638,0.381321504,0.738119772,-0.08019261,-0.267446423,0.107061203
ABHD15,0.290189231,0.011204998,0.569173464,-0.598491501,-0.990361739,-0.206621263,0.163136706,-0.027133607,0.35340702,-0.089689714,-0.288797074,0.109417646
ABHD16A,0.225108492,0.051269191,0.398947793,0.381796281,-0.030972676,0.794565238,-0.280026975,-0.479113661,-0.08094029,-0.091370325,-0.284278537,0.101537888
ABHD17A,-0.145780018,-0.355783838,0.064223801,0.107155294,-0.84337825,1.057688837,0.071305115,-0.247921289,0.39053152,-0.00120968,-0.381125843,0.378706483
ABHD17B,1.076374286,0.534356548,1.618392024,-1.154903157,-1.514665715,-0.795140599,0.052140057,-0.150849935,0.25513005,-0.384755196,-0.556893836,-0.212616555
ABHD17C,0.320411284,0.088242725,0.552579843,-0.54339225,-0.899086026,-0.187698475,0.057627351,-0.42695447,0.542209171,-0.27375157,-0.554605239,0.007102099
