Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ABCA7,-0.159712086,-1.092428697,0.773004525,-0.09902039,-0.925014183,0.726973402,0.409559331,-1.106904416,1.926023077,0.056156059,-0.863830549,0.976142667,-0.206982913,-1.011071312,0.597105486
ABCA8,-0.438635006,-1.668990464,0.791720453,-0.569293716,-1.274346,0.135758567,0.727963479,-0.138433288,1.594360246,-0.553281934,-0.951001377,-0.155562491,0.833247177,0.198741109,1.467753245
ABCA9,-0.147988153,-1.508248181,1.212271875,-0.465460481,-1.079049176,0.148128214,-0.157228137,-0.756199989,0.441743715,-0.231520403,-1.08778437,0.624743564,0.926663101,-0.296500842,2.149827043
ABCB1,-0.526052862,-1.678972431,0.626866707,-0.428354769,-0.945023581,0.088314044,0.601531417,-0.028125385,1.23118822,-0.588763563,-1.342724576,0.16519745,0.941639777,0.074694563,1.808584991
ABCB10,1.167508263,0.027168542,2.307847984,-0.213131788,-1.088969287,0.66270571,-0.824792644,-1.233287472,-0.416297816,0.086361248,-0.640367131,0.813089627,-0.215945079,-0.888104595,0.456214437
ABCB11,0,0,0,-0.579482716,-0.912237005,-0.246728427,0,0,0,-0.591451473,-1.349492682,0.166589735,1.170934189,0.316770739,2.025097639
ABCB6,0.124661751,-1.164695428,1.414018929,-0.597621022,-1.330211628,0.134969583,0.408649411,-0.798179226,1.615478048,-0.085115747,-1.061175912,0.890944417,0.149425608,-0.464027303,0.762878519
ABCB7,0.750441011,-0.579400226,2.080282248,-0.203435385,-1.184359593,0.777488822,-0.147488797,-0.888011354,0.59303376,0.221886743,-0.724230987,1.168004473,-0.621403572,-1.127774224,-0.115032919
ABCB8,0.342331837,-0.739312075,1.423975748,-0.28779032,-1.087876798,0.512296158,0.124386072,-0.46304475,0.711816895,0.124936965,-1.147195261,1.397069191,-0.303864554,-1.523559146,0.915830038
ABCB9,0.315013796,-0.689230196,1.319257787,0.095333496,-0.533885092,0.724552083,-0.67075756,-1.662902267,0.321387148,-0.1546719,-1.582699021,1.273355222,0.415082168,-0.175006055,1.005170391
ABCC1,1.111332352,0.225772217,1.996892488,-0.212093518,-1.212877255,0.788690219,-0.915090891,-1.752460109,-0.077721673,-0.02120397,-0.725395599,0.682987658,0.037056027,-0.470858905,0.54497096
ABCC10,0.504936021,-0.382293561,1.392165602,-0.198173513,-1.193352558,0.797005531,-0.288527072,-1.255995696,0.678941551,-0.257229961,-1.14481799,0.630358068,0.238994526,-1.010113889,1.48810294
ABCC11,-1.220760936,-1.85460758,-0.586914293,0.590635622,-0.324795661,1.506066905,0.335902365,-0.503311517,1.175116246,0.008923478,-0.914571979,0.932418934,0.285299472,-0.449894377,1.02049332
ABCC12,-0.845274981,-2.109409267,0.418859304,0.429512394,-0.661922708,1.520947495,0.201720393,-0.607246979,1.010687764,-0.123115427,-0.869107784,0.622876929,0.337157622,-0.313030686,0.987345931
