Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ABCB7,-0.178243849,-0.324460484,-0.032027214,0.279190503,0.041299714,0.517081292,-0.179861819,-0.308829906,-0.050893732,0.6491934,0.335488877,0.962897923,0.095248097,-0.317920673,0.508416867
ABCB8,-0.240040397,-0.440766804,-0.03931399,0.337514414,0.067294907,0.607733921,-0.087598573,-0.217872513,0.042675367,0.260572081,0.042298148,0.478846014,0.559872604,0.210723334,0.909021874
ABCC1,0.259409149,0.100986366,0.417831932,0.492610458,0.082278093,0.902942823,-0.265788616,-0.372995121,-0.158582111,-0.186244311,-0.398544003,0.026055381,0.779338534,0.107438057,1.451239011
ABCC10,-0.225942,-0.445960437,-0.005923563,0.266326661,-0.184785675,0.717438997,0.08395831,-0.117975573,0.285892193,-0.513799013,-1.070288521,0.042690495,0.48764267,-0.063595774,1.038881114
ABCC11,-0.4583283,-0.600259346,-0.316397254,1.196678309,0.745013963,1.648342655,0.015269386,-0.094250386,0.124789158,-0.16509938,-0.350674308,0.020475548,-0.363415784,-0.69937615,-0.027455418
ABCC2,-0.516400827,-0.958346238,-0.074455416,0.358784811,0.017936771,0.699632851,0.153636055,-0.035242116,0.342514226,-0.223562192,-0.447967211,0.000842827,0,0,0
ABCC3,-0.359951176,-0.558617383,-0.161284969,0.117554877,-0.197030202,0.432139956,0.064267765,-0.056244915,0.184780445,0.353585027,0.084503268,0.622666786,-0.174616719,-0.782970269,0.433736831
ABCC4,0.216339905,0.069012517,0.363667293,0.511361575,0.209931397,0.812791753,-0.249445704,-0.408413202,-0.090478206,0.161039216,-0.061201704,0.383280136,-0.265420074,-0.577391009,0.046550861
ABCC5,-0.474009101,-0.631136695,-0.316881507,0.261135365,0.000577799,0.521692931,-0.134253366,-0.290865191,0.022358459,0.60042009,0.21088774,0.98995244,0.69975077,-0.04978022,1.44928176
ABCD1,0.293114773,0.133667841,0.452561705,0.896816365,0.680298267,1.113334463,-0.392737808,-0.513224216,-0.2722514,0.053690595,-0.225973374,0.333354564,0.083511481,-0.276005097,0.443028059
ABCD3,-0.634133657,-0.757812672,-0.510454642,0.047715931,-0.275620784,0.371052646,-0.031979551,-0.155706886,0.091747784,1.028344131,0.834735913,1.221952349,0.412567444,0.199112428,0.62602246
ABCE1,0.76579572,0.60907784,0.9225136,0.453865024,0.172139158,0.73559089,-0.547354062,-0.643201006,-0.451507118,-0.17517542,-0.349659215,-0.000691625,1.122995496,0.565683098,1.680307894
ABCF1,0.834145936,0.665307835,1.002984037,0.442123687,0.240871715,0.643375659,-0.412317793,-0.51314943,-0.311486156,-0.278781668,-0.511322138,-0.046241198,-0.427712245,-1.116146764,0.260722274
ABCF2,0.834260026,0.619972976,1.048547076,0.624528947,0.415792498,0.833265396,-0.480564858,-0.573919508,-0.387210208,-0.366600754,-0.523489684,-0.209711824,0.137492749,-0.095220112,0.37020561
ABCF3,-0.329778435,-0.525540875,-0.134015995,0.213125195,-0.084811879,0.511062269,-0.030637742,-0.14880608,0.087530596,0.29685437,0.016807817,0.576900923,0.65592978,0.398102875,0.913756685
ABCG1,-0.64515792,-0.794607445,-0.495708395,0.099247891,-0.147730555,0.346226337,0.12646748,-0.037442749,0.290377709,0.600307405,0.393830603,0.806784207,0.098992729,-0.342039453,0.540024911
ABHD10,-0.266730915,-0.404084205,-0.129377625,-0.448828522,-0.738108444,-0.1595486,0.262424383,0.133466525,0.391382241,-0.10427697,-0.399174511,0.190620571,0.166662901,-0.361553362,0.694879164
ABHD11,-0.287094615,-0.44226893,-0.1319203,0.256027026,-4.79926E-05,0.512102045,0.039002607,-0.110261563,0.188266777,-0.115010463,-0.301135368,0.071114442,0.894678946,0.551779521,1.237578371
ABHD12,-0.411468774,-0.57112595,-0.251811598,0.090454723,-0.145956886,0.326866332,-0.008573999,-0.153151734,0.136003736,0.516040163,0.326120293,0.705960033,0.476452701,0.03449148,0.918413922
ABHD13,-0.160416711,-0.417525322,0.0966919,0.140322692,-0.149485424,0.430130808,0.050811546,-0.127870615,0.229493707,-0.07704357,-0.20441199,0.05032485,0.172219187,-0.519737435,0.864175809
ABHD14B,-0.846399738,-0.959235132,-0.733564344,0.138353788,-0.108595147,0.385302723,0.4882035,0.371671413,0.604735587,-0.372092989,-0.623061706,-0.121124272,0.221324143,-0.156610659,0.599258945
ABHD16A,-0.024750421,-0.209191972,0.15969113,0.49321238,0.173327182,0.813097578,-0.1747994,-0.308172769,-0.041426031,0.173853789,-0.026440247,0.374147825,0.164168047,-0.171021499,0.499357593
ABHD17A,-0.514581096,-0.706998848,-0.322163344,0.250212792,0.032289827,0.468135757,0.143764289,-0.016090115,0.303618693,0.211793743,-0.03507645,0.458663936,-0.099635453,-0.263162154,0.063891248
ABHD17B,0.122624987,-0.029867222,0.275117196,0.058132404,-0.228445054,0.344709862,-0.15686675,-0.286615354,-0.027118146,0.107798529,-0.2698851,0.485482158,0.557446134,0.156140482,0.958751786
ABHD17C,-0.57767866,-0.714979384,-0.440377936,-0.059241144,-0.258556241,0.140073953,0.3253706,0.188900927,0.461840273,0.107616089,-0.201148449,0.416380627,-0.838991185,-1.518355465,-0.159626905
ABHD3,-0.631668495,-0.830073516,-0.433263474,0.627736299,0.37208694,0.883385658,0.211726529,-0.092057597,0.515510655,0.100283704,-0.22948229,0.430049698,-0.130460421,-0.487796802,0.22687596
ABHD4,-0.473748938,-0.661862999,-0.285634877,0.506080122,0.252924864,0.75923538,0.126867485,0.014737496,0.238997474,-0.204603469,-0.498341752,0.089134814,0.580081966,0.100823106,1.059340826
ABHD5,0.064983823,-0.081420455,0.211388101,-0.307785443,-0.510421281,-0.105149605,0.248656829,0.10783149,0.389482168,-0.696257772,-0.85505941,-0.537456134,0.017481636,-0.811500204,0.846463476
ABHD6,-0.162179131,-0.290498889,-0.033859373,0.707218461,0.272195027,1.142241895,-0.22918909,-0.370469982,-0.087908198,-0.022787669,-0.247306672,0.201731334,0.846770269,0.176080213,1.517460325
ABI1,0.303046168,0.248330238,0.357762098,-0.023435532,-0.113384698,0.066513634,-0.179293952,-0.376284857,0.017696953,0.119408583,-0.000904574,0.23972174,-0.101665518,-0.189181992,-0.014149044
ABI2,-0.380326444,-0.533086323,-0.227566565,-0.784862097,-1.029320055,-0.540404139,0.429269451,0.317088795,0.541450107,-0.062927966,-0.371031448,0.245175516,-0.276209411,-0.623625522,0.0712067
ABI3,0.265563735,0.047943265,0.483184205,0.089352702,-0.276602307,0.455307711,-0.077344775,-0.178603562,0.023914012,-0.164159716,-0.441118804,0.112799372,-0.350583758,-0.667391551,-0.033775965
ABI3BP,-0.795200905,-0.901683762,-0.688718048,-0.171956199,-0.395530106,0.051617708,0.470139106,0.345605955,0.594672257,-0.325858258,-0.547171998,-0.104544518,0.841974875,0.385376146,1.298573604
ABL1,-0.730914842,-0.930669755,-0.531159929,0.289002267,0.069325272,0.508679262,0.153875025,0.039298081,0.268451969,0.474585469,0.253001717,0.696169221,0.062333854,-0.367622284,0.492289992
ABLIM1,-0.319339196,-0.485502013,-0.153176379,0.26959369,0.007055942,0.532131438,0.225380732,0.094576075,0.356185389,-0.617227629,-0.82711484,-0.407340418,0.626538592,0.120101891,1.132975293
ABLIM2,-0.284268593,-0.496073798,-0.072463388,-0.349374523,-0.523114514,-0.175634532,0.286825352,0.15833666,0.415314044,-0.15845273,-0.360472964,0.043567504,-0.104063229,-0.698090854,0.489964396
ABLIM3,-0.771686564,-0.876553504,-0.666819624,-0.101128271,-0.348441048,0.146184506,0.430282723,0.30949083,0.551074616,-0.148496998,-0.44116113,0.144167134,0.358607975,-0.03407528,0.75129123
ABR,0.081090474,-0.09955451,0.261735458,0.082223554,-0.157510014,0.321957122,-0.010163947,-0.157464692,0.137136798,-0.182174938,-0.408480327,0.044130451,0.034713081,-0.188024548,0.25745071
ABRACL,0.556972098,0.387374091,0.726570105,0.417918866,0.180870128,0.654967604,-0.198927951,-0.301992192,-0.09586371,-0.927761485,-1.18245964,-0.67306333,1.021556696,0.614228234,1.428885158
ABT1,1.021948594,0.885801182,1.158096006,0.557043076,0.360387531,0.753698621,-0.716116875,-0.803060413,-0.629173337,-0.007391202,-0.171631934,0.15684953,0.70184,0.37640919,1.02727081
ABTB1,-0.201378788,-0.535030933,0.132273357,-0.224364953,-0.593336933,0.144607027,-0.06986296,-0.243448766,0.103722846,0.464241659,0.119272498,0.80921082,0.510907872,-0.070156062,1.091971806
ABTB2,0.289958666,0.057078817,0.522838515,0.219268141,-0.036878696,0.475414978,-0.177197046,-0.325021214,-0.029372878,0.049376546,-0.106960336,0.205713428,-0.524293399,-2.029203112,0.980616314
ACAA1,-0.339723676,-0.452266312,-0.22718104,0.557041507,0.297386236,0.816696778,0.151749027,0.000854902,0.302643152,-0.405930584,-0.593973081,-0.217888087,0.060906182,-0.455067931,0.576880295
ACAA2,0.567953974,0.385414529,0.750493419,-0.075260146,-0.26855148,0.118031188,-0.034091025,-0.16700831,0.09882626,-0.804669341,-0.959675056,-0.649663626,0.041108801,-0.443634577,0.525852179
ACACA,-0.591668079,-0.690369259,-0.492966899,0.940876784,0.485897609,1.395855959,-0.038411803,-0.149560821,0.072737215,0.326133993,0.13622571,0.516042276,0.126258839,-0.237945706,0.490463384
ACACB,-0.40774964,-0.565014122,-0.250485158,-0.501533547,-0.643171909,-0.359895185,0.27803847,0.129756732,0.426320208,0.021738631,-0.193273645,0.236750907,1.025521371,0.305103457,1.745939285
ACAD10,-0.308541874,-0.475406345,-0.141677403,0.251422938,0.028551495,0.474294381,-0.001393879,-0.139319799,0.136532041,0.13311422,-0.137495194,0.403723634,0.648860518,0.221260207,1.076460829
ACAD11,-0.482538883,-0.702340412,-0.262737354,-0.444359448,-0.720407114,-0.168311782,0.336003296,0.223850477,0.448156115,0.284063599,0.050270951,0.517856247,-0.489072768,-0.83465285,-0.143492686
ACAD8,-0.606883904,-0.72524827,-0.488519538,0.609604694,0.225438935,0.993770453,0.177737198,0.064239577,0.291234819,-0.218480952,-0.456602412,0.019640508,0.529664688,-0.075473911,1.134803287
