Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ZNF69,0.53496412,0.388313469,0.681614771,-0.489748041,-0.856543763,-0.12295232,0.277706267,0.157782171,0.397630364,-0.422484242,-0.656755723,-0.188212761,,,
ZNF691,0.458421371,0.112538638,0.804304103,-0.240554832,-0.484213092,0.003103428,-0.147189517,-0.313741072,0.019362038,-0.082481992,-0.232241221,0.067277238,,,
ZNF692,0.091509845,-0.143176627,0.326196316,0.108851845,-0.192333159,0.410036848,-0.220552058,-0.481186626,0.04008251,0.088304083,-0.054141867,0.230750033,,,
ZNF695,0.759879864,0.560213164,0.959546563,0.388379995,0.142357094,0.634402896,-0.755665148,-0.891640012,-0.619690284,-0.039920795,-0.23533994,0.15549835,,,
ZNF696,0.434325522,0.162487254,0.70616379,0.106936559,-0.186074788,0.399947906,-0.54807953,-0.701475188,-0.394683871,0.146030461,-0.040446477,0.3325074,,,
ZNF697,-0.002730342,-0.312911692,0.307451008,0.413735008,0.207100042,0.620369974,0.007159559,-0.169061141,0.183380258,-0.211680992,-0.411675611,-0.011686372,,,
ZNF699,-0.148741572,-0.382288233,0.084805089,-0.004758432,-0.250535383,0.241018519,0.226736047,0.018985745,0.434486348,-0.103353316,-0.32720122,0.120494588,,,
ZNF7,0.19315246,-0.012833257,0.399138176,-0.076929518,-0.396413744,0.242554708,-0.454006894,-0.628699587,-0.279314201,0.328690355,0.111557437,0.545823273,,,
ZNF70,-0.013772069,-0.317929305,0.290385168,0.223200315,-0.079404424,0.525805053,0.044997374,-0.081445654,0.171440403,-0.144393589,-0.362945364,0.074158186,,,
ZNF700,-0.391559129,-0.627255511,-0.155862748,0.043270348,-0.362943716,0.449484413,0.169014724,-0.005855777,0.343885224,0.110061729,-0.070598675,0.290722133,,,
ZNF701,-0.868531188,-1.10552878,-0.631533595,0.641788261,0.359584755,0.923991766,0.163864069,-0.000605379,0.328333517,0.173467861,0.009990038,0.336945684,,,
ZNF702P,-0.195348616,-0.326478854,-0.064218377,0.117735054,-0.208660208,0.444130316,0.233422082,0.049007455,0.417836708,-0.136052227,-0.394660294,0.122555841,,,
ZNF703,-1.20332052,-1.363387823,-1.043253216,-0.150396071,-0.368508128,0.067715987,0.59394887,0.469399205,0.718498534,0.408487425,0.240500554,0.576474297,,,
ZNF704,-0.247875259,-0.513892813,0.018142296,0.074396266,-0.164198954,0.312991487,0.190983009,0.029688785,0.352277232,-0.034317072,-0.273684409,0.205050264,,,
ZNF705A,0.072895432,-0.183822302,0.329613165,-0.160557614,-0.448051071,0.126935843,-0.043168039,-0.256904338,0.17056826,0.066976605,-0.129237722,0.263190931,,,
ZNF705D,-0.11096895,-0.314566572,0.092628672,0.083623568,-0.314566572,0.481813708,-0.127921838,-0.314566572,0.058722896,0.164006688,-0.042024371,0.370037748,,,
ZNF706,0.202005252,0.028547963,0.37546254,0.278949097,0.004672836,0.553225359,-0.597275797,-0.747179647,-0.447371947,0.281410818,0.03425688,0.528564756,,,
ZNF707,0.36715442,0.161134543,0.573174297,0.006382872,-0.302223465,0.314989209,-0.455709505,-0.603418991,-0.308000019,0.158164358,-0.081086334,0.397415049,,,
ZNF708,-0.237680663,-0.469768962,-0.005592363,0.390328287,0.134552279,0.646104295,-0.053291548,-0.278920321,0.172337225,0.03416742,-0.166301257,0.234636097,,,
ZNF709,-0.313321485,-0.521144481,-0.10549849,-0.222481645,-0.572770924,0.127807635,0.380664954,0.192566382,0.568763526,-0.018571978,-0.222616322,0.185472367,,,
ZNF71,0.602985336,0.46570744,0.740263231,0.466642789,0.17721368,0.756071897,-0.194747134,-0.306335162,-0.083159106,-0.498927726,-0.757375086,-0.240480367,,,
ZNF710,-0.089329018,-0.323418203,0.144760166,0.599744862,0.318715861,0.880773863,0.142398005,-0.029974121,0.314770132,-0.369340423,-0.584576666,-0.154104179,,,
ZNF711,0.227040013,-0.08015557,0.534235595,0.521189883,0.390691905,0.651687861,-0.329370676,-0.505430514,-0.153310839,-0.115228052,-0.315722354,0.085266249,,,
ZNF713,0.013178232,-0.273748831,0.300105294,0.454131688,0.318656859,0.589606518,-0.040475015,-0.248045777,0.167095747,-0.198160962,-0.402842845,0.006520921,,,
ZNF714,0.000475325,-0.25120495,0.2521556,-0.323342399,-0.682588549,0.035903751,-0.018723819,-0.167512307,0.130064669,0.179258365,-0.039208432,0.397725162,,,
ZNF716,0.144601215,-0.225571252,0.514773682,0.188891289,-0.045213227,0.422995805,-0.182466331,-0.309986036,-0.054946625,-0.02803299,-0.203616544,0.147550563,,,
ZNF717,-0.062845631,-0.233673961,0.1079827,0.044764085,-0.266838227,0.356366397,0.300835083,0.11122674,0.490443426,-0.263548108,-0.505140454,-0.021955761,,,
ZNF718,-0.418436173,-0.636435495,-0.20043685,0.086411196,-0.280259857,0.453082248,-0.129878761,-0.294874391,0.03511687,0.395088677,0.19292611,0.597251244,,,
ZNF720,-0.735468635,-0.914414326,-0.556522943,-0.031427508,-0.290394784,0.227539768,0.449272525,0.290407917,0.608137133,0.136762393,-0.09534704,0.368871827,,,
ZNF721,-0.647372566,-0.882611494,-0.412133639,-0.220174918,-0.467545444,0.027195608,0.416135714,0.279274602,0.552996827,0.196820158,-0.03029776,0.423938075,,,
ZNF727,0.224130458,-0.001300189,0.449561105,0.390089862,-0.006191996,0.78637172,-0.080062699,-0.244020624,0.083895226,-0.286416021,-0.482719259,-0.090112783,,,
ZNF732,0.530670424,0.338895079,0.72244577,0.133215239,-0.212951714,0.479382192,-0.275779185,-0.444220694,-0.107337676,-0.200322052,-0.419747484,0.019103379,,,
